BEA,T1,O1,-3.79,12_12_12_5_4,12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T1,O2,-3.88,12_5_5_4,12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T1,O3,-3.75,12_12_12_12_6_5_5,12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T1,O4,-3.72,6_5_4_4,12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T2,O4,-3.65,6_5_4_4,12_12_12_12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T2,O5,-3.78,12_12_12_12_12_12_5_4,12_12_12_12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T2,O6,-3.85,12_5_5_4,12_12_12_12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T2,O7,-3.76,12_12_12_12_12_12_12_6_5_5,12_12_12_12_12_12_12_6_5_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T3,O1,-3.78,12_12_12_5_4,12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T3,O10,-3.82,12_12_12_6_5_4,12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T3,O8,-3.71,12_12_12_12_12_12_6_6_5,12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T3,O9,-3.73,6_5_4_4,12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T4,O11,-3.72,12_12_12_12_12_12_12_12_12_6_6_5,12_12_12_12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T4,O12,-3.83,12_12_12_6_5_4,12_12_12_12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T4,O5,-3.73,12_12_12_12_12_12_5_4,12_12_12_12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
BEA,T4,O9,-3.66,6_5_4_4,12_12_12_12_12_12_12_12_12_6_6_5_5_4_4,12_12_12_12_12_6_6_6_6_6_6_5_5_5_5_5_5_4_4_4
